Year,Electricity,Heating & Cooling,Transport
2004,15.871,11.735,1.432
2005,16.402,12.437,1.819
2006,16.879,13.21,2.472
2007,17.647,14.819,2.887
2008,18.526,15.325,4.133
2009,20.654,16.786,4.891
2010,21.283,16.995,5.5
2011,23.3,17.415,4.115
2012,25.138,18.582,5.767
2013,26.769,19.044,6.07
2014,28.601,19.929,6.552
2015,29.655,20.307,6.753
2016,30.172,20.4,7.165
2017,31.104,20.819,7.471
2018,32.134,21.604,8.265
2019,34.086,22.432,8.804
2020,37.408,22.983,10.253
2021,37.793,23.033,9.051
2022,41.239,24.775,9.64
2023,45.397,26.231,10.962
2024,47.503,26.738,11.2
