Country_Name,Value_2012,Value_2022,Growth_Points
Sweden,49.403,66.287,16.884000000000007
Denmark,25.465,41.368,15.903000000000002
Finland,34.222,47.74,13.518
Netherlands,4.659,15.291,10.632000000000001
Spain,14.239,21.837,7.597999999999999
Germany,13.549,20.829,7.280000000000001
France,13.239,20.33,7.0909999999999975
EU Average,16.002,23.003,7.001000000000001
Belgium,7.086,13.831,6.744999999999999
Poland,10.955,16.644,5.688999999999998
Italy,15.441,18.826,3.385
Romania,22.825,24.229,1.404
